CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
r9,1,156,156,156
r9,2,313,312,313
r9,3,459,458,460
r9,4,601,601,603
r9,5,748,748,749
r9,6,874,876,893
r9,7,1020,1019,1022
r9,8,1157,1155,1158
r9,9,1231,1231,1234
r9,10,1341,1340,1348
r9,11,1429,1421,1432
r9,12,1586,1586,1588
r9,13,1662,1662,1665
r9,14,1840,1840,1844
r9,15,1940,1940,1942
r9,16,2027,2027,2032
r9,17,1263,1262,1266
r9,18,1293,1292,1296
r9,19,1376,1376,1379
r9,20,1396,1396,1400
r9,21,1441,1441,1452
r9,22,1555,1554,1558
r9,23,1550,1550,1552
r9,24,1660,1660,1667
r9,25,1646,1646,1668
r9,26,1783,1783,1787
r9,27,1822,1822,1831
r9,28,1892,1891,1904
r9,29,1941,1940,1951
r9,30,1958,1958,1969
r9,31,2025,2026,2034
r9,32,2080,2080,2087
