CPU,ThreadNum,Med_GFLOPS,Avg_GFLOPS,Max_GFLOPS
rt,1,78,78,79
rt,2,147,147,149
rt,3,216,216,219
rt,4,279,279,279
rt,5,346,345,350
rt,6,400,400,403
rt,7,428,428,431
rt,8,461,461,464
rt,9,500,500,504
rt,10,541,541,547
rt,11,600,600,606
rt,12,650,649,656
rt,13,693,693,699
rt,14,734,734,742
rt,15,766,765,775
rt,16,803,803,809
rt,17,856,855,861
rt,18,864,863,882
rt,19,892,892,903
rt,20,905,905,918
rt,21,935,935,947
rt,22,957,957,969
rt,23,997,979,1014
rt,24,1022,988,1040
rt,25,1035,1017,1049
rt,26,912,905,934
rt,27,923,887,955
rt,28,926,901,956
rt,29,932,892,967
rt,30,950,912,966
rt,31,958,933,972
rt,32,966,928,980
rt,33,984,965,996
rt,34,962,931,979
rt,35,957,933,970
rt,36,937,918,954
rt,37,938,908,954
rt,38,935,902,950
rt,39,926,884,940
rt,40,926,913,938
rt,41,917,876,939
rt,42,901,858,915
rt,43,899,854,916
rt,44,894,853,911
rt,45,906,867,921
rt,46,923,901,940
rt,47,933,876,958
rt,48,943,907,964
rt,49,951,915,971
rt,50,941,887,961
rt,51,943,930,962
rt,52,939,912,955
rt,53,926,908,945
rt,54,923,909,945
rt,55,913,885,931
rt,56,896,876,919
rt,57,896,890,923
rt,58,888,875,921
rt,59,872,854,907
rt,60,877,867,903
rt,61,870,863,893
rt,62,865,863,893
rt,63,855,843,880
rt,64,853,850,879
